batsman,bowler,batting_avg
A Symonds,A Mishra,20.0
A Symonds,SK Warne,65.0
AB de Villiers,A Kumble,39.0
AB de Villiers,A Mishra,37.0
AB de Villiers,AR Patel,48.0
AB de Villiers,B Kumar,24.0
AB de Villiers,CH Morris,72.0
AB de Villiers,DJ Bravo,70.0
AB de Villiers,DS Kulkarni,50.0
AB de Villiers,HH Pandya,89.0
AB de Villiers,Harbhajan Singh,34.33
AB de Villiers,I Sharma,35.0
AB de Villiers,IK Pathan,67.0
AB de Villiers,JH Kallis,36.0
AB de Villiers,JJ Bumrah,36.0
AB de Villiers,JP Faulkner,62.0
AB de Villiers,KH Pandya,10.75
AB de Villiers,PP Chawla,13.25
AB de Villiers,PP Ojha,39.0
AB de Villiers,PV Tambe,54.0
AB de Villiers,R Ashwin,29.0
AB de Villiers,RA Jadeja,104.0
AB de Villiers,S Nadeem,43.0
AB de Villiers,SB Jakati,27.5
AB de Villiers,SK Warne,21.5
AB de Villiers,SL Malinga,125.0
AB de Villiers,SP Narine,15.67
AB de Villiers,SR Watson,54.0
AB de Villiers,Sandeep Sharma,43.5
AB de Villiers,Shakib Al Hasan,49.0
AC Gilchrist,A Kumble,11.33
AC Gilchrist,A Mishra,19.0
AC Gilchrist,A Nehra,100.0
AC Gilchrist,AB Dinda,16.0
AC Gilchrist,DW Steyn,50.0
AC Gilchrist,I Sharma,62.0
AC Gilchrist,IK Pathan,16.5
AC Gilchrist,JA Morkel,15.67
AC Gilchrist,JH Kallis,56.0
AC Gilchrist,L Balaji,41.0
AC Gilchrist,M Morkel,30.0
AC Gilchrist,R Ashwin,23.0
AC Gilchrist,S Sreesanth,28.0
AC Gilchrist,SL Malinga,34.0
AC Gilchrist,YK Pathan,16.0
AC Gilchrist,Z Khan,14.0
AD Mathews,M Muralitharan,43.0
AD Mathews,R Bhatia,32.0
AD Russell,DJ Bravo,78.0
AD Russell,YS Chahal,63.0
AJ Finch,JJ Bumrah,25.0
AJ Finch,MG Johnson,10.67
AJ Finch,S Nadeem,29.0
AJ Finch,Sandeep Sharma,37.0
AJ Finch,YS Chahal,32.0
AM Rahane,A Mishra,32.0
AM Rahane,A Nehra,59.0
AM Rahane,AB Agarkar,39.0
AM Rahane,AD Mathews,52.0
AM Rahane,AD Russell,43.0
AM Rahane,AR Patel,65.0
AM Rahane,B Kumar,14.83
AM Rahane,DW Steyn,9.0
AM Rahane,Harbhajan Singh,27.0
AM Rahane,I Sharma,25.0
AM Rahane,IK Pathan,43.0
AM Rahane,JJ Bumrah,42.0
AM Rahane,KH Pandya,48.0
AM Rahane,KV Sharma,17.33
AM Rahane,M Morkel,88.0
AM Rahane,MG Johnson,43.0
AM Rahane,MJ McClenaghan,39.0
AM Rahane,MM Sharma,59.0
AM Rahane,Mohammed Shami,86.0
AM Rahane,NM Coulter-Nile,55.0
AM Rahane,P Kumar,22.0
AM Rahane,PP Chawla,115.0
AM Rahane,R Ashwin,7.75
AM Rahane,R Vinay Kumar,39.0
AM Rahane,Rashid Khan,41.0
AM Rahane,S Kaul,39.0
AM Rahane,S Nadeem,21.0
AM Rahane,SL Malinga,49.0
AM Rahane,SP Narine,18.0
AM Rahane,Sandeep Sharma,22.0
AM Rahane,Shakib Al Hasan,28.0
AM Rahane,UT Yadav,32.33
AM Rahane,Z Khan,17.0
AS Yadav,DL Chahar,54.0
AT Rayudu,A Mishra,32.33
AT Rayudu,B Kumar,36.5
AT Rayudu,DJ Bravo,22.0
AT Rayudu,DW Steyn,34.0
AT Rayudu,HV Patel,14.0
AT Rayudu,IK Pathan,34.5
AT Rayudu,JA Morkel,36.0
AT Rayudu,JH Kallis,18.5
AT Rayudu,M Morkel,29.0
AT Rayudu,MC Henriques,28.0
AT Rayudu,MM Sharma,8.67
AT Rayudu,P Kumar,40.0
AT Rayudu,PP Chawla,12.5
AT Rayudu,R Ashwin,16.75
AT Rayudu,RA Jadeja,50.0
AT Rayudu,Rashid Khan,50.0
AT Rayudu,S Nadeem,16.33
AT Rayudu,SP Narine,19.5
AT Rayudu,SR Watson,10.0
AT Rayudu,Shakib Al Hasan,20.5
AT Rayudu,UT Yadav,67.0
AT Rayudu,YS Chahal,51.0
AT Rayudu,Yuvraj Singh,26.0
BA Stokes,Imran Tahir,44.0
BB McCullum,A Nehra,28.0
BB McCullum,AR Patel,8.75
BB McCullum,B Kumar,29.0
BB McCullum,Harbhajan Singh,38.0
BB McCullum,IK Pathan,38.0
BB McCullum,JA Morkel,63.0
BB McCullum,JH Kallis,64.0
BB McCullum,M Morkel,59.0
BB McCullum,MG Johnson,56.0
BB McCullum,P Kumar,41.0
BB McCullum,PP Chawla,15.75
BB McCullum,R Ashwin,9.67
BB McCullum,R Vinay Kumar,94.0
BB McCullum,S Nadeem,48.0
BB McCullum,SB Jakati,16.0
BB McCullum,SL Malinga,20.25
BB McCullum,SP Narine,11.0
BB McCullum,Sandeep Sharma,19.0
BB McCullum,Shakib Al Hasan,33.0
BB McCullum,UT Yadav,50.0
BB McCullum,Z Khan,45.0
BJ Hodge,Harbhajan Singh,35.0
BJ Hodge,M Kartik,34.0
BJ Hodge,PP Ojha,44.0
BJ Hodge,SL Malinga,20.5
CA Lynn,B Kumar,44.0
CA Lynn,MJ McClenaghan,50.0
CA Lynn,YS Chahal,74.0
CH Gayle,A Mishra,67.0
CH Gayle,AD Russell,41.0
CH Gayle,AR Patel,30.0
CH Gayle,B Kumar,130.0
CH Gayle,CH Morris,13.33
CH Gayle,DJ Bravo,32.0
CH Gayle,DS Kulkarni,20.67
CH Gayle,DW Steyn,59.0
CH Gayle,HH Pandya,62.0
CH Gayle,Harbhajan Singh,20.6
CH Gayle,IK Pathan,65.0
CH Gayle,JH Kallis,23.0
CH Gayle,JJ Bumrah,30.0
CH Gayle,KA Pollard,56.0
CH Gayle,M Morkel,20.33
