batsman,strike_rate
AD Russell,179.95
SP Narine,166.94
RR Pant,162.32
GJ Maxwell,155.54
CH Morris,153.39
HH Pandya,151.9
JC Buttler,150.0
V Sehwag,148.83
AB de Villiers,148.74
CH Gayle,145.64
KH Pandya,144.09
KA Pollard,141.75
P Shaw,141.61
DA Warner,139.52
CA Lynn,139.3
YK Pathan,138.86
HM Amla,138.04
KL Rahul,137.41
SR Watson,136.95
JA Morkel,136.94
DA Miller,136.26
RA Tripathi,135.03
MS Dhoni,134.93
S Gill,134.64
KS Williamson,134.45
ST Jayasuriya,134.03
SK Raina,133.9
V Shankar,133.8
AC Gilchrist,133.05
AS Yadav,133.03
DR Smith,132.28
N Rana,132.22
KP Pietersen,132.06
Harbhajan Singh,131.96
ML Hayden,131.94
BA Stokes,131.24
Q de Kock,131.07
Ishan Kishan,130.22
SE Marsh,130.11
JP Faulkner,129.8
JD Ryder,129.61
SV Samson,129.34
V Kohli,129.04
WP Saha,128.8
RG Sharma,128.77
KD Karthik,127.61
BB McCullum,127.33
RV Uthappa,127.32
AJ Finch,127.11
M Vohra,127.0
SA Yadav,126.93
KK Nair,126.72
SPD Smith,126.67
MC Henriques,126.01
STR Binny,126.0
DJ Bravo,125.57
CL White,125.45
Yuvraj Singh,125.28
SS Iyer,125.11
F du Plessis,125.02
OA Shah,124.94
A Symonds,124.71
MA Agarwal,124.25
DJ Hooda,124.13
KM Jadhav,124.12
AT Rayudu,124.06
Shakib Al Hasan,123.41
CJ Anderson,123.39
Mandeep Singh,123.37
AR Patel,123.05
LMP Simmons,122.89
S Dhawan,122.67
JP Duminy,121.49
BJ Hodge,121.42
AD Mathews,120.87
GJ Bailey,120.11
LRPL Taylor,120.07
DJ Hussey,120.07
MEK Hussey,119.96
G Gambhir,119.84
AM Rahane,119.75
M Vijay,119.69
RA Jadeja,119.55
DPMD Jayawardene,118.79
KC Sangakkara,118.47
MK Pandey,118.43
EJG Morgan,117.79
PA Patel,117.59
PC Valthaty,116.9
IK Pathan,116.75
S Badrinath,115.74
TL Suman,115.16
SS Tiwary,114.85
NV Ojha,114.34
AM Nayar,114.29
SR Tendulkar,114.19
MK Tiwary,113.97
Y Venugopal Rao,113.87
RS Bopara,113.46
R Dravid,113.35
TM Dilshan,110.12
PP Chawla,108.5
MS Bisla,108.28
GC Smith,106.95
JH Kallis,105.94
HH Gibbs,105.85
M Manhas,105.76
SC Ganguly,101.73
