bowler,player_dismissed
A Ashish Reddy,18
A Chandila,11
A Choudhary,5
A Flintoff,2
A Joseph,6
A Kumble,45
A Mishra,156
A Mithun,7
A Nehra,106
A Nel,1
A Roy,1
A Singh,31
A Symonds,20
A Uniyal,2
A Zampa,19
AA Chavan,8
AA Jhunjhunwala,1
AA Noffke,1
AB Agarkar,29
AB Dinda,69
AB McDonald,11
AC Gilchrist,1
AC Thomas,14
AD Mascarenhas,19
AD Mathews,27
AD Russell,55
AF Milne,4
AG Murtaza,9
AJ Finch,1
AJ Tye,39
AL Menaria,3
AM Nayar,9
AM Rahane,1
AM Salvi,7
AN Ahmed,12
AP Dole,5
AR Patel,71
AS Rajpoot,22
Anand Rajan,8
Ankit Sharma,13
Ankit Soni,2
Anureet Singh,18
Avesh Khan,5
Azhar Mahmood,29
B Akhil,6
B Geeves,1
B Kumar,133
B Laughlin,10
B Lee,25
B Stanlake,7
BA Bhatt,12
BA Stokes,26
BAW Mendis,8
BB Sran,19
BCJ Cutting,10
BE Hendricks,9
BJ Hodge,17
BMAJ Mendis,1
BW Hilfenhaus,22
Basil Thampi,16
Bipul Sharma,17
C Nanda,2
C de Grandhomme,6
CH Gayle,18
CH Morris,70
CJ Anderson,11
CJ Jordan,12
CJ McKay,1
CK Langeveldt,13
CL White,1
CR Brathwaite,13
CR Woakes,25
CRD Fernando,17
D Kalyankrishna,2
D Salunkhe,1
D Short,1
D Wiese,16
D Willey,2
D du Preez,4
DAJ Bracewell,3
DB Ravi Teja,1
DE Bollinger,38
DJ Bravo,147
DJ Hooda,6
DJ Hussey,8
DJ Muthuswami,4
DJ Thornely,3
DJG Sammy,11
DL Chahar,33
DL Vettori,28
DNT Zoysa,2
DP Nannes,28
DP Vijaykumar,4
DR Smith,26
DS Kulkarni,86
DT Christian,34
DW Steyn,96
FH Edwards,5
GB Hogg,23
GD McGrath,12
GH Vihari,1
GJ Maxwell,16
GR Napier,1
GS Sandhu,1
Gagandeep Singh,3
Gurkeerat Singh,5
H Gurney,7
H Viljoen,7
HH Pandya,42
HV Patel,43
Harbhajan Singh,150
Harmeet Singh,26
Harmeet Singh (2),1
I Sharma,71
I Sodhi,9
IC Pandey,18
IK Pathan,80
Imran Tahir,79
Iqbal Abdulla,40
J Archer,26
J Behrendorff,5
J Botha,25
J Searles,2
J Suchith,12
J Syed Mohammad,8
J Theron,11
J Yadav,5
JA Morkel,85
JD Ryder,8
JD Unadkat,78
JDP Oram,9
JDS Neesham,1
JE Taylor,6
JEC Franklin,9
JH Kallis,65
JJ Bumrah,82
JJ van der Wath,3
JM Kemp,3
JO Holder,5
JP Duminy,23
JP Faulkner,61
JR Hopes,14
JW Hastings,3
Jaskaran Singh,6
Joginder Sharma,12
K Ahmed,20
K Gowtham,11
K Khejroliya,3
K Paul,9
K Rabada,31
K Santokie,3
KA Pollard,56
KC Cariappa,8
KH Pandya,39
KJ Abbott,2
KK Cooper,33
KM Asif,3
KMDN Kulasekara,5
KP Appanna,9
KP Pietersen,7
KV Sharma,55
KW Richardson,19
Kamran Khan,10
Karanveer Singh,12
Kuldeep Yadav,39
L Ablish,3
L Balaji,76
L Ferguson,2
L Ngidi,11
L Plunkett,4
LA Carseldine,1
LH Ferguson,3
LJ Wright,2
LMP Simmons,1
LR Shukla,15
M Ali,9
M Ashwin,15
M Kartik,31
M Markande,16
M Morkel,77
M Muralitharan,64
M Ntini,7
M Santner,4
M Ur Rahman,17
M de Lange,5
MA Khote,2
MA Starc,34
MC Henriques,38
MF Maharoof,27
MG Johnson,62
MJ Clarke,2
MJ Henry,1
MJ McClenaghan,71
MK Tiwary,1
MM Patel,74
MM Sharma,91
MN Samuels,9
MP Stoinis,15
MR Marsh,20
MS Gony,37
Mohammad Asif,8
Mohammad Hafeez,2
Mohammad Nabi,11
Mohammed Shami,40
Mohammed Siraj,29
Mustafizur Rahman,24
N Rana,7
N Saini,11
NB Singh,1
ND Doshi,2
NLTC Perera,31
NM Coulter-Nile,36
O Thomas,5
P Amarnath,7
P Awana,39
P Krishna,14
P Kumar,90
P Negi,35
P Parameswaran,9
P Raj,1
P Sahu,3
P Suyal,2
PC Valthaty,7
PD Collingwood,5
PJ Cummins,17
PJ Sangwan,35
PM Sarvesh Kumar,1
PP Chawla,149
PP Ojha,89
PV Tambe,28
Pankaj Singh,11
Parvez Rasool,4
R Ashwin,125
R Bhatia,71
R Dhawan,18
R McLaren,12
R Ninan,3
R Parag,2
R Rampaul,16
R Sathish,3
R Sharma,40
R Shukla,5
R Tewatia,14
R Vinay Kumar,105
RA Jadeja,108
RD Chahar,15
RE van der Merwe,21
RG More,1
RG Sharma,15
RJ Harris,45
RJ Peterson,3
RN ten Doeschate,2
RP Singh,90
RR Powar,13
RR Raje,6
RS Bopara,11
RV Gomez,5
Rashid Khan,55
S Aravind,45
S Badree,11
S Curran,10
S Dhawan,4
S Gopal,38
S Kaul,49
S Kaushik,6
S Kuggeleijn,2
S Ladda,5
S Lamichhane,13
S Mavi,5
S Nadeem,42
S Narwal,5
S Randiv,6
S Rutherford,1
S Sharma,12
S Sreesanth,41
S Tyagi,6
S Vidyut,1
S Warrier,2
SB Bangar,4
SB Jakati,47
SB Joshi,1
SB Styris,8
SB Wagh,5
SC Ganguly,10
SD Chitnis,2
SE Bond,9
SJ Srivastava,14
SK Raina,25
SK Trivedi,65
SK Warne,57
SL Malinga,170
SM Boland,2
SM Harwood,3
SM Pollock,11
SMSM Senanayake,9
SN Thakur,36
SP Narine,122
SR Watson,92
SS Agarwal,1
SS Mundhe,1
SS Sarkar,1
ST Jayasuriya,13
STR Binny,23
SW Tait,24
Sachin Baby,2
Sandeep Sharma,83
Shahid Afridi,9
Shakib Al Hasan,59
Shivam Sharma,4
Shoaib Ahmed,5
Shoaib Akhtar,5
Shoaib Malik,2
Sohail Tanvir,22
Swapnil Singh,1
T Curran,6
T Henderson,1
T Natarajan,2
T Shamsi,3
T Thushara,8
TA Boult,38
TG Southee,28
TL Suman,6
TM Dilshan,5
TM Head,2
TP Sudhindra,1
TS Mills,5
UT Yadav,119
Umar Gul,12
V Chakravarthy,1
V Kohli,4
V Pratap Singh,10
V Sehwag,6
V Shankar,2
VR Aaron,42
VRV Singh,12
VS Malik,6
VY Mahesh,21
WA Mota,4
WD Parnell,27
WPUJC Vaas,18
Washington Sundar,16
Y Nagar,4
Y Venugopal Rao,6
YA Abdulla,15
YK Pathan,42
YS Chahal,100
Yuvraj Singh,36
Z Khan,103
