bowler,economy_rate
R Ashwin,7.56
SP Narine,7.61
SL Malinga,7.87
DW Steyn,7.9
RA Jadeja,8.39
B Lee,8.51
CH Morris,8.59
A Nehra,8.73
B Kumar,8.82
SK Trivedi,8.86
S Kaul,8.87
PP Chawla,8.94
M Morkel,9.0
JJ Bumrah,9.02
RP Singh,9.03
JA Morkel,9.09
Imran Tahir,9.09
Z Khan,9.15
SR Watson,9.16
MJ McClenaghan,9.21
IK Pathan,9.22
A Mishra,9.25
DJ Bravo,9.26
MG Johnson,9.28
DS Kulkarni,9.29
JP Faulkner,9.76
MM Sharma,9.89
JH Kallis,9.98
KA Pollard,10.03
L Balaji,10.06
UT Yadav,10.11
Sandeep Sharma,10.16
P Kumar,10.17
R Vinay Kumar,10.27
Mohammed Shami,10.33
MM Patel,10.36
JD Unadkat,10.52
I Sharma,10.65
AB Dinda,10.75
